date,total_revenue
2019-12-19,20980.677401
2019-12-20,21642.1632136
2019-12-21,17806.1775745
2019-12-22,19107.1191878
2019-12-23,18185.0299726
2019-12-24,11973.8539081
2019-12-25,18685.1576448
2019-12-26,17887.4427786
2019-12-27,23822.4589108
2019-12-28,18528.8851822
2019-12-29,19340.112153000002
2019-12-30,21097.7719352
2019-12-31,13939.5536711
2020-01-01,3325.71957
2020-01-02,25790.5808604
2020-01-03,29769.1187091
2020-01-04,29996.896910299998
2020-01-05,28365.838679
2020-01-06,30027.4641789
2020-01-07,35127.6410516
2020-01-08,34084.7461233
2020-01-09,33987.2820365
2020-01-10,29235.1080419
2020-01-11,35440.1833785
2020-01-12,41051.522723
2020-01-13,31548.619833
2020-01-14,34021.1725871
2020-01-15,37258.3851907
2020-01-16,36458.9668131
2020-01-17,26220.6814
2020-01-18,29269.5644805
2020-01-19,34184.7826591
2020-01-20,31171.2734381
2020-01-21,34142.557462
2020-01-22,31589.0966252
2020-01-23,32143.7484005
2020-01-24,27469.3626054
2020-01-25,27405.4103117
2020-01-26,33892.8424812
2020-01-27,33112.000016
2020-01-28,32049.5305853
2020-01-29,27195.0156405
2020-01-30,29109.397223
2020-01-31,27623.4139462
2020-02-01,27284.5302198
2020-02-02,34649.4878438
2020-02-03,37021.661348
2020-02-04,29590.2672449
2020-02-05,32447.2305869
2020-02-06,24649.6555161
2020-02-07,23435.567850299998
2020-02-08,23269.4984534
2020-02-09,30446.6363412
2020-02-10,31345.2638604
2020-02-11,31326.4367353
2020-02-12,26964.2425815
2020-02-13,25416.5169624
2020-02-14,21863.9389109
2020-02-15,23194.5731778
2020-02-16,29277.9468277
2020-02-17,34649.430965
2020-02-18,37569.3820723
2020-02-19,32295.0457208
2020-02-20,25660.4014059
2020-02-21,22947.4934701
2020-02-22,22386.969903
2020-02-23,29719.4936107
2020-02-24,35478.8727481
2020-02-25,30516.4247803
2020-02-26,27062.2920745
2020-02-27,23973.0193465
2020-02-28,22852.5789454
2020-02-29,28248.9813529
2020-03-01,33162.2435168
2020-03-02,35359.206952
2020-03-03,39598.4419114
2020-03-04,33218.8382707
2020-03-05,33889.6562238
2020-03-06,26334.854694
2020-03-07,27615.1857494
2020-03-08,36467.2072073
2020-03-09,35044.3434036
2020-03-10,29003.3015892
2020-03-11,29794.446865500002
2020-03-12,23085.5941343
2020-03-13,20428.9198061
2020-03-14,17960.9613926
2020-03-15,18879.9348583
2020-03-16,17742.5801423
2020-03-17,19509.5235941
2020-03-18,16331.792817
2020-03-19,17679.599246499998
2020-03-20,16888.8500077
2020-03-21,14837.639414
2020-03-22,16736.3464425
2020-03-23,19287.6533887
2020-03-24,17816.0512119
2020-03-25,19290.9283861
2020-03-26,20539.928621
2020-03-27,15687.3685411
2020-03-28,19532.7869705
2020-03-29,31183.4486473
2020-03-30,27461.2402908
2020-03-31,24338.5556581
2020-04-01,24568.6534303
2020-04-02,12408.3957546
2020-04-03,8167.1242667
2020-04-04,11146.7400179
2020-04-05,30859.8072706
2020-04-06,32221.8921759
2020-04-07,28711.4288208
2020-04-08,26892.68401
2020-04-09,30068.0717499
2020-04-10,27730.6995628
2020-04-11,2566.9718725
2020-04-12,24225.8684186
2020-04-13,30405.2535279
2020-04-14,35307.9354714
2020-04-15,30583.5351996
2020-04-16,29372.6424677
2020-04-17,25532.4721873
2020-04-18,25739.2207214
2020-04-19,36812.4684819
2020-04-20,31704.7934356
2020-04-21,30367.3098463
2020-04-22,30042.1100259
2020-04-23,29423.5092706
2020-04-24,27108.5982943
2020-04-25,24785.3481526
2020-04-26,39417.2429201
2020-04-27,36145.4511824
2020-04-28,33457.2780214
2020-04-29,33969.7559354
2020-04-30,30449.3772756
2020-05-01,30386.939525
2020-05-02,28109.7170269
2020-05-03,32697.1244018
2020-05-04,40386.7298978
2020-05-05,42059.9427446
2020-05-06,43536.6356275
2020-05-07,35963.9237814
2020-05-08,28844.961184
2020-05-09,29936.2467046
2020-05-10,38851.6374379
2020-05-11,41613.8916602
2020-05-12,42874.3249169
2020-05-13,40468.409339
2020-05-14,42128.872376
2020-05-15,41099.4018432
2020-05-16,32694.8306032
2020-05-17,41590.322243
2020-05-18,42737.748092
2020-05-19,41870.0676923
2020-05-20,36405.5357463
2020-05-21,38268.2799118
2020-05-22,34577.0937312
2020-05-23,37545.3009198
2020-05-24,42237.0045771
2020-05-25,40209.2350636
2020-05-26,34685.4481154
2020-05-27,37576.0335537
2020-05-28,35880.8226077
2020-05-29,28417.400453
2020-05-30,25907.9749638
2020-05-31,35941.6574583
2020-06-01,36575.2377389
2020-06-02,106870.6184713
2020-06-03,43722.1246324
2020-06-04,46761.1949113
2020-06-05,41995.4117526
2020-06-06,30456.0667908
2020-06-07,41544.3553066
2020-06-08,45737.6241612
2020-06-09,35320.9403382
2020-06-10,37643.9846362
2020-06-11,30955.0544642
2020-06-12,27534.7401607
2020-06-13,24226.6500446
2020-06-14,26332.9929588
2020-06-15,32049.0720149
2020-06-16,33567.5379582
2020-06-17,34391.8245376
2020-06-18,28891.4566001
2020-06-19,25298.49675
2020-06-20,21603.8717767
2020-06-21,23035.3722538
2020-06-22,30791.1704864
2020-06-23,33364.5806517
2020-06-24,31157.1696436
2020-06-25,26089.2667326
2020-06-26,23944.1973916
2020-06-27,26478.1155616
2020-06-28,23620.6835355
2020-06-29,36459.7680421
2020-06-30,30239.036948599998
2020-07-01,33557.5442451
2020-07-02,31052.5657643
2020-07-03,35327.3235645
2020-07-04,23273.9843718
2020-07-05,26603.7094995
2020-07-06,35881.5903883
2020-07-07,40004.9020546
2020-07-08,35736.4479914
2020-07-09,32634.2344338
2020-07-10,28872.6601862
2020-07-11,26790.0620295
2020-07-12,31402.2463452
2020-07-13,37421.3750804
2020-07-14,35493.4078742
2020-07-15,36054.2449524
2020-07-16,35308.7443062
2020-07-17,28728.5614495
2020-07-18,24416.9148913
2020-07-19,30317.4359771
2020-07-20,32334.4295636
2020-07-21,30832.2463477
2020-07-22,28534.0391589
2020-07-23,24995.7110949
2020-07-24,27874.9267277
2020-07-25,23633.8157049
2020-07-26,29996.1542551
2020-07-27,33458.1862862
2020-07-28,33668.8096304
2020-07-29,31817.9693102
2020-07-30,28201.8224746
2020-07-31,26811.1954513
2020-08-01,27956.6096587
2020-08-02,32843.1064844
2020-08-03,36830.9254068
2020-08-04,39646.2532428
2020-08-05,35613.6765888
2020-08-06,32566.4731389
2020-08-07,28358.1360353
2020-08-08,23950.2486057
2020-08-09,28063.7652098
2020-08-10,39199.5181337
2020-08-11,50567.8279042
2020-08-12,50154.7299744
2020-08-13,37102.7811668
2020-08-14,27681.6366707
2020-08-15,27283.8623093
2020-08-16,31652.9574558
2020-08-17,39892.2814443
2020-08-18,35287.897645
2020-08-19,45731.8355798
2020-08-20,36631.1553516
2020-08-21,25463.7425424
2020-08-22,26311.7112446
2020-08-23,35762.3949444
2020-08-24,38935.9729593
2020-08-25,38806.6448264
2020-08-26,40890.651761
2020-08-27,38673.0955659
2020-08-28,36124.059538
2020-08-29,29435.4632048
2020-08-30,38243.028842
2020-08-31,42912.3400574
2020-09-01,46778.9170963
2020-09-02,44796.3426013
2020-09-03,37427.3215104
2020-09-04,36131.8194855
2020-09-05,33958.8057175
2020-09-06,43166.6654147
2020-09-07,51931.8173938
2020-09-08,44592.767906
2020-09-09,41060.1604491
2020-09-10,38387.8694472
2020-09-11,33357.0928168
2020-09-12,136148.8999459
2020-09-13,52953.0479127
2020-09-14,53175.0749632
2020-09-15,46610.4881172
2020-09-16,41548.6670474
2020-09-17,47830.085279
2020-09-18,36420.0409868
2020-09-19,35047.763344
2020-09-20,37091.271818
2020-09-21,43047.8432328
2020-09-22,38389.9504272
2020-09-23,38366.1330996
2020-09-24,32538.8731708
2020-09-25,32679.2339364
2020-09-26,29688.398223
2020-09-27,40056.5503334
2020-09-28,46205.7445919
2020-09-29,37373.305223
2020-09-30,35815.6115125
2020-10-01,36324.572277
2020-10-02,35252.4976193
2020-10-03,30991.7976994
2020-10-04,41058.1165172
2020-10-05,40255.6458357
2020-10-06,41623.1373681
2020-10-07,38781.5271009
2020-10-08,29542.0234566
2020-10-09,28828.4625915
2020-10-10,25374.4415739
2020-10-11,32521.034314
2020-10-12,33274.4293584
2020-10-13,32881.1660869
2020-10-14,28979.9288778
2020-10-15,28610.4003256
2020-10-16,29736.5253605
2020-10-17,27942.0509053
2020-10-18,31911.2858219
2020-10-19,33934.7954717
2020-10-20,25947.1462423
2020-10-21,32928.210147
2020-10-22,45476.9296488
2020-10-23,32503.854770500002
2020-10-24,33115.1330304
2020-10-25,41843.3113917
2020-10-26,48338.2990617
2020-10-27,42380.2112437
2020-10-28,42665.7174876
2020-10-29,35818.3159931
2020-10-30,37455.0625432
2020-10-31,32068.9700128
2020-11-01,47664.0374674
2020-11-02,42013.7218511
2020-11-03,41317.3645607
2020-11-04,46304.4519943
2020-11-05,38651.1772932
2020-11-06,55716.0958819
2020-11-07,38929.4722745
2020-11-08,50182.3470553
2020-11-09,47401.278606
2020-11-10,54178.4054637
2020-11-11,74403.7217744
2020-11-12,65697.865144
2020-11-13,76984.6430416
2020-11-14,55676.6434282
2020-11-15,73591.7221329
2020-11-16,75135.7070168
2020-11-17,64674.0621778
2020-11-18,55784.2013178
2020-11-19,60611.3855227
2020-11-20,58950.4257633
2020-11-21,59992.5520643
2020-11-22,79458.1745376
2020-11-23,63816.8670284
2020-11-24,66294.7162405
2020-11-25,85101.0796494
2020-11-26,82755.6938817
2020-11-27,100742.125741
2020-11-28,81592.4433537
2020-11-29,91763.9122561
2020-11-30,88698.6569496
2020-12-01,45134.1875336
2020-12-02,46764.6399895
2020-12-03,40703.3607465
2020-12-04,43510.205134
2020-12-05,43950.5613206
2020-12-06,46298.8511158
2020-12-07,51783.598412
2020-12-08,50396.5608862
2020-12-09,54814.5888302
2020-12-10,45475.6411859
2020-12-11,47821.6512332
2020-12-12,38501.6796288
2020-12-13,46842.6109644
2020-12-14,48909.7434947
2020-12-15,47950.020305
2020-12-16,46607.7898131
2020-12-17,41975.7866892
2020-12-18,36044.0332118
2020-12-19,32437.1708706
2020-12-20,31703.6537991
2020-12-21,33281.4653925
2020-12-22,35154.5946638
2020-12-23,30255.7504411
2020-12-24,25684.5218278
2020-12-25,39195.7807047
2020-12-26,42258.3379849
2020-12-27,45512.4209601
2020-12-28,59531.8660665
2020-12-29,56280.157886
2020-12-30,38881.1159382
2020-12-31,22844.87021
2021-01-01,26655.2062253
2021-01-02,39417.7166859
2021-01-03,40958.613092
2021-01-04,47363.5109227
2021-01-05,46020.2796381
2021-01-06,42422.8118012
2021-01-07,51105.3726582
2021-01-08,46866.1874741
2021-01-09,45101.6321813
2021-01-10,44486.2996522
2021-01-11,51539.3152959
2021-01-12,52666.5488335
2021-01-13,48785.4354931
2021-01-14,39856.1301481
2021-01-15,45377.5133229
2021-01-16,38910.0596125
2021-01-17,45888.3950745
2021-01-18,45429.7637275
2021-01-19,41270.2947206
2021-01-20,48020.9503133
2021-01-21,47066.5928718
2021-01-22,44108.2501954
2021-01-23,41659.8348238
2021-01-24,54059.7648236
2021-01-25,49810.7823662
2021-01-26,46577.721975
2021-01-27,43158.9838071
2021-01-28,62325.7284205
2021-01-29,64022.4475477
2021-01-30,44035.1361594
2021-01-31,57282.9805468
2021-02-01,58526.7532453
2021-02-02,50348.441559599996
2021-02-03,51167.8069047
2021-02-04,50890.2837749
2021-02-05,48835.2053788
2021-02-06,51579.1746858
2021-02-07,60762.0120567
2021-02-08,49230.3564561
2021-02-09,50465.6496738
2021-02-10,46980.4483523
2021-02-11,39507.99234
2021-02-12,39565.2873365
2021-02-13,40498.8985418
2021-02-14,42507.5174827
2021-02-15,36494.9899455
2021-02-16,40511.6009895
2021-02-17,43212.3228424
2021-02-18,41109.7297813
2021-02-19,46022.6924736
2021-02-20,49493.4914258
2021-02-21,66686.250364
2021-02-22,47533.7800864
2021-02-23,44192.2146408
2021-02-24,57584.6493259
2021-02-25,58249.2386265
2021-02-26,49785.7541148
2021-02-27,43119.3976522
2021-02-28,56031.0447549
2021-03-01,61431.166833
2021-03-02,65372.2931386
2021-03-03,81889.1449761
2021-03-04,55971.2330347
2021-03-05,49057.5340262
2021-03-06,48212.8867048
2021-03-07,60686.1969164
2021-03-08,58033.9885458
2021-03-09,53716.9966436
2021-03-10,50464.9541656
2021-03-11,52729.0390123
2021-03-12,50097.4710925
2021-03-13,60340.2087112
2021-03-14,65877.3140585
2021-03-15,76114.7253716
2021-03-16,57160.3863291
2021-03-17,55082.6087462
2021-03-18,46559.0621798
2021-03-19,50752.2252908
2021-03-20,50774.3546624
2021-03-21,60030.2551653
2021-03-22,52983.0431081
2021-03-23,45880.6357736
2021-03-24,51628.8885983
2021-03-25,55362.7480719
2021-03-26,51279.7573815
2021-03-27,55795.411935000004
2021-03-28,70144.6740595
2021-03-29,70456.1098282
2021-03-30,52517.0717383
2021-03-31,45965.0827135
2021-04-01,51810.2715328
2021-04-02,46935.413937
2021-04-03,42098.5496626
2021-04-04,39981.0004309
2021-04-05,55913.5178737
2021-04-06,52478.5855142
2021-04-07,53814.8742699
2021-04-08,53826.1561825
2021-04-09,58114.4928039
2021-04-10,54340.1577599
2021-04-11,63896.7757005
2021-04-12,67589.8238203
2021-04-13,60415.8742537
2021-04-14,57556.4068851
2021-04-15,59918.1577845
2021-04-16,49622.0009614
2021-04-17,47675.9962585
2021-04-18,61100.8272927
2021-04-19,67881.9879758
2021-04-20,48359.7553453
2021-04-21,49343.3763013
2021-04-22,43935.6302757
2021-04-23,40409.3369741
2021-04-24,39809.05902
2021-04-25,55864.9918167
2021-04-26,51703.8716428
2021-04-27,46020.2816067
2021-04-28,49792.2020364
2021-04-29,47342.9301146
2021-04-30,46318.943184
2021-05-01,44240.4835698
2021-05-02,59701.9592732
2021-05-03,44791.793577899996
2021-05-04,48193.8229328
2021-05-05,51774.321986
2021-05-06,52539.1711075
2021-05-07,63310.1255043
2021-05-08,47064.1724308
2021-05-09,49232.9072272
2021-05-10,54550.6758694
2021-05-11,51604.5697401
2021-05-12,49925.2111485
2021-05-13,48507.7019915
2021-05-14,66888.15867620001
2021-05-15,44491.5575557
2021-05-16,58376.6238274
2021-05-17,56248.5099861
2021-05-18,45896.4091369
2021-05-19,49314.724591700004
2021-05-20,43243.2667277
2021-05-21,39963.104973299996
2021-05-22,43900.723893200004
2021-05-23,47508.6766498
2021-05-24,50781.253454
2021-05-25,56790.9161477
2021-05-26,49738.414917
2021-05-27,46584.6747719
2021-05-28,48155.9853145
2021-05-29,42489.6824112
2021-05-30,54524.839229
2021-05-31,56003.2206267
2021-06-01,45180.072667
2021-06-02,42187.7357831
2021-06-03,40004.5071931
2021-06-04,41920.0744897
2021-06-05,41599.4627554
2021-06-06,56449.1707978
2021-06-07,53576.2463271
2021-06-08,57064.0309874
2021-06-09,50492.5618971
2021-06-10,41873.3218064
2021-06-11,41737.824125
2021-06-12,38955.5295868
2021-06-13,51166.2259346
2021-06-14,51083.4494975
2021-06-15,54449.128789
2021-06-16,46340.3492679
2021-06-17,37194.6549552
2021-06-18,30575.1150592
2021-06-19,26577.9385972
2021-06-20,34245.9412785
2021-06-21,38019.2405441
2021-06-22,37715.4961213
2021-06-23,30019.8143137
2021-06-24,28554.3831759
2021-06-25,26416.7561784
2021-06-26,30474.806518
2021-06-27,33086.7935074
2021-06-28,36206.3081692
2021-06-29,30319.2835915
2021-06-30,32783.8676604
2021-07-01,32791.4130741
2021-07-02,25349.9146635
2021-07-03,22736.8451661
2021-07-04,30028.347675
2021-07-05,33616.1992686
2021-07-06,34391.8618998
2021-07-07,35943.6292801
2021-07-08,33888.2952472
2021-07-09,34074.5757498
2021-07-10,27286.938107
2021-07-11,39771.8388263
2021-07-12,41129.2854572
2021-07-13,50476.4410974
2021-07-14,42669.5092925
2021-07-15,104392.7106225
2021-07-16,45576.2950095
2021-07-17,35978.249704
2021-07-18,40493.6701317
2021-07-19,47815.5926183
2021-07-20,43962.6909616
2021-07-21,40392.8656547
2021-07-22,40969.0021642
2021-07-23,34960.8421711
2021-07-24,28421.8218268
2021-07-25,33496.3583126
2021-07-26,49753.9095014
2021-07-27,44212.5596931
2021-07-28,44537.5548736
2021-07-29,39661.2339378
2021-07-30,43529.4093738
2021-07-31,36378.633385
2021-08-01,47123.8173769
2021-08-02,61400.0544583
2021-08-03,53259.8334895
2021-08-04,54737.4572818
2021-08-05,63058.5282329
2021-08-06,68775.5126831
2021-08-07,47254.4959238
2021-08-08,54043.6216514
2021-08-09,64423.3762142
2021-08-10,58585.9046567
2021-08-11,53939.4290438
2021-08-12,52744.7492574
2021-08-13,48068.1382761
2021-08-14,33453.9365368
2021-08-15,42855.7929211
2021-08-16,59270.2878243
2021-08-17,59902.7815653
2021-08-18,60514.3058472
2021-08-19,50536.8858661
2021-08-20,49834.4744372
2021-08-21,41333.5065299
2021-08-22,60057.7918986
2021-08-23,63039.7382803
2021-08-24,53321.2005364
2021-08-25,53277.9846295
2021-08-26,51556.0018712
2021-08-27,46122.162885
2021-08-28,41997.0758753
2021-08-29,51009.2025232
2021-08-30,61548.3237247
2021-08-31,64972.9503966
2021-09-01,64524.5500757
2021-09-02,57937.2242011
2021-09-03,57225.1252358
2021-09-04,46422.3708552
2021-09-05,60121.2418446
2021-09-06,71708.9774124
2021-09-07,64805.3555125
2021-09-08,62774.642315
2021-09-09,55788.5146334
2021-09-10,47396.6346012
2021-09-11,38615.4926234
2021-09-12,53380.2437551
2021-09-13,58265.1214324
2021-09-14,50127.9398447
2021-09-15,50199.5716479
2021-09-16,50436.2691521
2021-09-17,45880.1794111
2021-09-18,46476.946825
2021-09-19,56077.3027284
2021-09-20,59655.7795547
2021-09-21,41867.1521294
2021-09-22,46997.6439072
2021-09-23,44226.2483485
2021-09-24,41499.6124265
2021-09-25,32487.8829473
2021-09-26,60324.0789189
2021-09-27,60173.2595409
2021-09-28,61995.8856222
2021-09-29,58749.3724755
2021-09-30,67695.2512113
2021-10-01,62212.6473783
2021-10-02,59171.6677494
2021-10-03,64218.4465419
2021-10-04,69419.4552697
2021-10-05,67593.2883275
2021-10-06,64107.9505795
2021-10-07,68274.7278593
2021-10-08,57630.9242575
2021-10-09,54687.7640677
2021-10-10,71277.2524827
2021-10-11,70254.0124338
2021-10-12,71354.0159553
2021-10-13,66088.1304936
2021-10-14,57461.3390744
2021-10-15,52617.0545702
2021-10-16,48265.3904915
2021-10-17,69069.9798995
2021-10-18,63660.9752962
2021-10-19,61841.1708857
2021-10-20,57081.107555
