date,total_revenue
2019-12-22,3375.6546435
2019-12-23,2155.4592973
2019-12-24,2275.9992189
2019-12-25,3094.4732461
2019-12-26,4429.2771215
2019-12-27,5287.5976623
2019-12-28,4499.6852611
2019-12-29,5630.2561865
2019-12-30,5266.6848683
2019-12-31,3203.8278991
2020-01-01,983.7600755
2020-01-02,5699.1534744
2020-01-03,5719.9154915
2020-01-04,5733.6523138
2020-01-05,7584.7057967
2020-01-06,7157.0984327
2020-01-07,7735.3255661
2020-01-08,7775.2360269
2020-01-09,7289.4930065
2020-01-10,6617.3166506
2020-01-11,8532.1023068
2020-01-12,11486.8852451
2020-01-13,8058.4069588
2020-01-14,7963.6015293
2020-01-15,6891.9647122
2020-01-16,8555.5852516
2020-01-17,4887.4089039
2020-01-18,5403.3961108
2020-01-19,8224.4336989
2020-01-20,7029.0313797
2020-01-21,8063.4937799
2020-01-22,7737.533703
2020-01-23,7143.2329273
2020-01-24,5374.8228542
2020-01-25,5622.662389
2020-01-26,6832.960833
2020-01-27,7539.9515332
2020-01-28,6467.6569598
2020-01-29,6191.5019228
2020-01-30,7179.5178116
2020-01-31,5565.4825451
2020-02-01,3558.7220847
2020-02-02,6083.9716879
2020-02-03,8322.7763373
2020-02-04,8069.0119997
2020-02-05,5861.9174278
2020-02-06,6362.5778903
2020-02-07,3086.7848746
2020-02-08,4805.5992152
2020-02-09,6871.4972707
2020-02-10,7077.8166476
2020-02-11,6868.4604468
2020-02-12,6183.5538606
2020-02-13,5996.1651029
2020-02-14,5440.0089039
2020-02-15,5063.4968880999995
2020-02-16,6470.5964957999995
2020-02-17,7095.4972688
2020-02-18,7927.3220752
2020-02-19,6604.1492083
2020-02-20,5737.4685903
2020-02-21,4760.977123
2020-02-22,5153.1538662
2020-02-23,7392.381378
2020-02-24,8426.3007572
2020-02-25,6480.0511465
2020-02-26,5654.6592892
2020-02-27,4864.187972
2020-02-28,4745.6007647
2020-02-29,5098.0290581
2020-03-01,9582.5918387
2020-03-02,6885.2662626
2020-03-03,6863.6150972
2020-03-04,7991.5209122999995
2020-03-05,6856.5670412
2020-03-06,4860.6922387
2020-03-07,5202.9344835
2020-03-08,8056.2298265
2020-03-09,9769.0848594
2020-03-10,8252.0088932
2020-03-11,8447.4492037
2020-03-12,5546.2623895
2020-03-13,3808.4809968
2020-03-14,3739.1600651
2020-03-15,4436.1600652
2020-03-16,3297.2623909
2020-03-17,4884.0402925
