date,total_revenue
2019-12-23,2198.3197858
2019-12-24,2858.1249963
2019-12-25,2656.8924379
2019-12-26,2225.4087174
2019-12-27,3384.0279009
2019-12-28,2439.5074532
2019-12-29,1887.3346041
2019-12-30,2923.3174572
2019-12-31,2675.7769184
2020-01-01,324.7654066
2020-01-02,2828.0542058
2020-01-03,4013.8246578
2020-01-04,3865.6994998
2020-01-05,4435.4345047
2020-01-06,4261.0402727
2020-01-07,4981.2169699
2020-01-08,3762.2229307
2020-01-09,3743.5385474
2020-01-10,3328.8635021
2020-01-11,4970.6439269
2020-01-12,4456.4228351
2020-01-13,4271.1167932
2020-01-14,3883.454401
2020-01-15,4594.2585
2020-01-16,5240.6468231
2020-01-17,3340.3614249
2020-01-18,3182.6942584
2020-01-19,4406.9243896
2020-01-20,4476.7748603
2020-01-21,6550.116707
2020-01-22,3995.0695411
2020-01-23,4052.1906474
2020-01-24,3781.8600568
2020-01-25,3240.9980709
2020-01-26,5970.0389056
2020-01-27,4690.8186908
2020-01-28,5607.435945
2020-01-29,3658.6693043
2020-01-30,3284.0747241
2020-01-31,3654.604742
2020-02-01,3848.5605489
2020-02-02,5137.6709655
2020-02-03,7539.6563124
2020-02-04,3630.0983863
2020-02-05,5832.0318778
2020-02-06,3622.3270836
2020-02-07,3724.1472553
2020-02-08,3514.357513
2020-02-09,4742.3312508
2020-02-10,5380.3052045
2020-02-11,5226.0541568
2020-02-12,3847.706424
2020-02-13,3755.9225194
2020-02-14,2487.8316812000003
2020-02-15,4509.5382184
2020-02-16,5241.1444359
2020-02-17,5929.9612106
2020-02-18,6071.449768
2020-02-19,5279.186035
2020-02-20,3206.7795271
2020-02-21,4145.6504376
2020-02-22,3454.0547581
2020-02-23,4411.8032747
2020-02-24,6585.3988857
2020-02-25,4590.5650586
2020-02-26,3628.4402559
2020-02-27,3380.168337
2020-02-28,3640.0305537
2020-02-29,3563.2404661
2020-03-01,4005.3709012
2020-03-02,6090.0965627
2020-03-03,3949.0835463
2020-03-04,2694.188599
2020-03-05,3559.5530088
2020-03-06,4781.1962743
2020-03-07,3039.5490019
2020-03-08,5249.5164707
2020-03-09,5094.131522
2020-03-10,4704.1599855
2020-03-11,4353.4896874
2020-03-12,3825.7762344
2020-03-13,2435.2087538
2020-03-14,2439.584644
2020-03-15,3432.4454322
2020-03-16,3203.3943631
2020-03-17,2922.8088297
2020-03-18,2422.1347192
2020-03-19,2610.4023345
2020-03-20,1668.9041388
2020-03-21,2034.7604838
2020-03-22,2704.4354298
2020-03-23,2691.1671316
2020-03-24,3545.3776886
2020-03-25,3931.1375179
2020-03-26,2423.1115305
2020-03-27,2658.5322826
2020-03-28,2408.9075527
2020-03-29,3682.3573182
2020-03-30,2758.7602262
2020-03-31,3094.1648508
2020-04-01,1706.0331934
2020-04-02,838.9741378
2020-04-03,401.9185098
2020-04-04,908.894719
2020-04-05,2757.0849029
2020-04-06,3887.7940411
2020-04-07,2391.6201377
2020-04-08,1904.7862856
2020-04-09,2752.0074372999998
2020-04-10,2717.0400045
2020-04-11,120.2278078
2020-04-12,3358.0047016
2020-04-13,4312.7254933
2020-04-14,3865.8209332
2020-04-15,3604.3573471
2020-04-16,3525.4484382
2020-04-17,2223.6378598
2020-04-18,2609.3667123
2020-04-19,5358.0330168
2020-04-20,4482.1512921
2020-04-21,4322.7408535
2020-04-22,3629.0815074
2020-04-23,3969.2924645
2020-04-24,3252.6725897
2020-04-25,4095.8119491
2020-04-26,6435.3050981
2020-04-27,4254.7497963
2020-04-28,5847.7252976
2020-04-29,4088.139758
2020-04-30,4622.226156
2020-05-01,3479.9116593
2020-05-02,2933.0127391
2020-05-03,4726.8277588
2020-05-04,4296.0277632
2020-05-05,4378.1035264
2020-05-06,3928.5662426
2020-05-07,3217.7206809
2020-05-08,3743.3691427
2020-05-09,3655.716046
2020-05-10,5916.8103699
2020-05-11,6624.4636877
2020-05-12,6092.6765082
2020-05-13,5456.282408
2020-05-14,7047.9396631
2020-05-15,5788.984023
2020-05-16,3367.3167164
2020-05-17,6233.2333108
2020-05-18,4414.7742733000005
2020-05-19,5528.5279352
2020-05-20,5693.2322625
2020-05-21,4533.4879262
2020-05-22,3971.1853674
2020-05-23,3164.818298
2020-05-24,5539.5763185
2020-05-25,6477.3088501
2020-05-26,5095.7734399
2020-05-27,4076.0075362000002
2020-05-28,4976.6967324
2020-05-29,3708.8663044
2020-05-30,3384.2900032
2020-05-31,6068.4144532
2020-06-01,3837.4426280000002
2020-06-02,4875.5376573
2020-06-03,5759.7467334
2020-06-04,5830.8209946
2020-06-05,4097.9116834
2020-06-06,4136.3321494
2020-06-07,4915.4500639
2020-06-08,6418.7641514
2020-06-09,6008.7355088
2020-06-10,6153.7792916
2020-06-11,5990.4782607
2020-06-12,4196.1429180000005
2020-06-13,3148.2089734
2020-06-14,4972.3660713
2020-06-15,5278.4311717
2020-06-16,4453.1608615
2020-06-17,3901.8662833
2020-06-18,4639.1878373
2020-06-19,4814.8035801
2020-06-20,2048.6115825
2020-06-21,3268.5401457
2020-06-22,5506.0463644
2020-06-23,4083.8067562
2020-06-24,2454.0402043
2020-06-25,3782.7019828
2020-06-26,2667.8472869
2020-06-27,1935.9443699
2020-06-28,3374.271576
2020-06-29,3651.620209
2020-06-30,2962.9599345
2020-07-01,4515.8055886
2020-07-02,4653.8322967
2020-07-03,3530.8155487
2020-07-04,2137.3341041
2020-07-05,3532.0789654
2020-07-06,6227.8484494
2020-07-07,4734.9391806
2020-07-08,5161.8974804
2020-07-09,4315.5130678
2020-07-10,3922.7871657
2020-07-11,4411.2259507
2020-07-12,5458.0636139
2020-07-13,7458.9446347
2020-07-14,6349.7926583
2020-07-15,4412.2116228
2020-07-16,5963.9617854
2020-07-17,4072.190537
2020-07-18,4921.2414875
2020-07-19,6064.0317807
2020-07-20,6943.9437972000005
2020-07-21,5588.8868124
2020-07-22,4972.5586289
2020-07-23,4675.6896718
2020-07-24,4437.3098978
2020-07-25,3560.6075911
2020-07-26,5356.4413292
2020-07-27,6405.3412278
2020-07-28,4554.9145189
2020-07-29,5200.3420883
2020-07-30,3513.4037427
2020-07-31,2754.5203436
2020-08-01,2791.3912721
2020-08-02,4383.13563
2020-08-03,4810.6504849
2020-08-04,5789.6144679
